Project Name,Project Description,Project Type,Project Manager,Region,Department, Project Cost , Project Benefit ,Complexity,Status,Completion%,Phase,Year,Month,Start Date,End Date
Associations Now,"Is A Start-Up That Is Changing The Way We Th About Content Marketing. From Your Ideation Phase To Content Creation To Post-Launch Optimization, We Help You Compete In A Competitive Market By Optimizing The Content In Realtime And Inefficiencies And Inefficiencies And Inefficiencies And Inefficiency Inefficiency Inefficiency Inefficiencies.",WORKING CAPITAL IMPROVEMENT,Nyasia Hunter,East,Sales and Marketing,2450782,8470209,Medium,On - Hold,91%,Phase 5 - Measure,2022,6,6/1/2022,9/1/2022
Coding Region,"Is Built For Entrepreneurs And Creators Who Want To Beat Their Goals And Win At Content Marketing. With State Of The Art Ai Capabilities, We’Ve Developed A Proprietary Engine That Helps You Create Your Optimized Objective Content Faster Than Ever Before, And It’S Without Any Employees. Simply Plug In The Topic Of Your Choosing And Let Our Ai Do The Rest.",PROCESS IMPROVEMENT,Deacon Delacruz,North,Supply Chain,3718103,9127150,Low,Cancelled,87%,Phase 1 - Explore,2022,6,6/1/2022,9/1/2022
"Linkage, Inc.","Rebranding Is An Art, And Associations Now Is Your Main Tool. Engage New Customers And Keep Existing Ones With Custom-Tailored And Personalized Content And Experiences And An Easy-To-Use Interface.",INCOME GENERATION,Brenda Chandler,West,eCommerce,5913478,9096409,Medium,Cancelled,74%,Phase 1 - Explore,2022,6,6/1/2022,9/1/2022
The Success,5-15% Of Your First Product Sale Is The Payback.,INCOME GENERATION,Yael Wilcox,South,eCommerce,2631019,8584025,Low,Completed,100%,Phase 3 - Plan,2022,7,7/1/2022,10/1/2022
Yoda,"A New Method For Creating Content Is On The Horizon. Instead Of Grinding Away At A Text Editor, Is A Brand New Solution For Founders Who Want To Win At Content Marketing. By Using A Proprietary Ai, Analyzes The Competition For Your Topic Online Based On The Density Of Articles (Seo), Average Length (Ltv), Content Analysis (Average Article Quality), And Other Popular Ranking Factors To Act As Your Content Marketing Coach. This Means You Can Create Optimized Content Faster With State-",COST REDUCTION,Yael Wilcox,North,Admin & BI,5859707,8697391,Medium,In - Progress,80%,Phase 4 - Implement,2022,7,7/1/2022,10/1/2022
Match Of Health,Quickly Identify Who Your Competition Is On Any Given Topic-Using Ai Learn How To Create Optimal Content Faster With State Of The Art Ai Generation-Compete On Topics Across Industries-Discover What Content Works,COST REDUCTION,Kamari Norris,West,eCommerce,4172827,8942009,High,In - Progress,75%,Phase 1 - Explore,2022,7,7/1/2022,10/1/2022
Yaeger,"""15 Five"" Is The World Most Sophisticated Content Marketing Ai Engine. We Bundle Our Ai With Our Service To Help Companies Climb Up The Middle.",INCOME GENERATION,Aleena Khan,East,Supply Chain,4249668,8548973,Low,In - Progress,89%,Phase 1 - Explore,2022,8,8/1/2022,11/1/2022
Fast & Creative Gang,"Completely Transform How Your Content Marketing Is Done. No Waiting, No Stressing, No More Out-Of-Date Content. We Make Content Strategy Accessible To Everyone. Our Artificial Intelligence (Ai) Platform Tells You What Content To Create, When To Create It, And How To Get Results. You Get Better Results, Happier Founders, And Get Positive Roi At The Same Time.",PROCESS IMPROVEMENT,Aleena Khan,North,Supply Chain,3156318,9111026,Medium,Completed,100%,Phase 3 - Plan,2022,8,8/1/2022,11/1/2022
The Coding Expert,"Hipaa-Compliant, Compliance Analytics. Automated Data Collection. Robust Web-To-Print.",PROCESS IMPROVEMENT,Yael Wilcox,East,Warehouse,3978102,8488880,Medium,In - Progress,79%,Phase 5 - Measure,2022,8,8/1/2022,11/1/2022
No-Bull Bootcamp,"Is The Only Ai-Enabled Content Marketing Tool That Helps Founders Win At Content Marketing. Built By Marketers For Marketers, Our Proprietary Ai Technology Analyzes The Competition For Specific Topics, And Our Content Generation Engine Provides State Of The Art Ai-Generated Content For Maximum Impact.",COST REDUCTION,Kamari Norris,West,Admin & BI,2745999,8567877,Low,Cancelled,88%,Phase 4 - Implement,2022,9,9/1/2022,12/1/2022
Search Engine Master,"Associations Now Is A Fully-Nightly, Optimized Content Marketing Platform That Won'T Just Create The Perfect Page For Your Associations, It'Ll Beat Anything Else Out There.",WORKING CAPITAL IMPROVEMENT,Jaylyn Mckenzie,West,eCommerce,3787473,8726782,Medium,Cancelled,77%,Phase 1 - Explore,2022,9,9/1/2022,12/1/2022
School Leadership 2.0,"Want To Win At Content Marketing? Is Here To Help. We Give You The Capability To Output Highly-Optimized, Contextual Content Through Ai-Generated Content In Minutes. You Can Build In Content In Minutes Without Having To Even Write Anything. Our In-House Ai Takes Care Of The Optimizing Of All Your Content For Your Industry And Audience.",COST REDUCTION,Kamari Norris,West,Supply Chain,4497364,9022111,High,Completed,100%,Phase 2 - Develop,2022,10,10/1/2022,1/1/2023
The Experienced Dude,"Gets You Up And Running Quickly By Creating A Compelling Content Plan For You Including A Depth Of Content, How To Optimize It, And A Detailed Budget.",INCOME GENERATION,Aleena Khan,South,Warehouse,5570834,8429375,Low,In - Progress,75%,Phase 4 - Implement,2022,10,10/1/2022,1/1/2023
Evening Shindig,"Is A Completely Different Way Of Creating Content\N\Nai Generates As-Human-Ly As Possible. In Seconds, Your Topics Become Insanely Crisp, Resonating With Your Target Audience. Allowing You To Spend Hours More Writing And Refining That Perfect Copy, Rather Than Squinting At A Spreadsheet And Grasping At Straws. Our App Empowers You To Share And Sell Your Content And Goes Behind The Scenes To Help You Understand Your Products And Services, And More Importantly Your Products And Services",WORKING CAPITAL IMPROVEMENT,Kamari Norris,East,Supply Chain,3472531,9084736,Low,Cancelled,83%,Phase 3 - Plan,2022,11,11/1/2022,3/1/2023
The Morning Ceremony,Lead With Content Optimization Plans In Place In Advance Of Your Next Pr Push. Helps Your Media Team Create Content In Advance Of Your Next Pr Push. The Ai Helps You Optimize For Future Content In Order To Win In The Game Of Content Marketing.,WORKING CAPITAL IMPROVEMENT,Jaylyn Mckenzie,South,Supply Chain,4802423,8780231,High,In - Progress,77%,Phase 5 - Measure,2022,11,11/1/2022,3/1/2023
Mentee To Mentor,"Content Is A Cornerstone Of Modern Building A Communications Strategy. It Informs And Engages Audiences, And Serves Consumers Well. However, A Seldom-Addressed Challenge For Marketers Is Building A Consistent Brand Based On Consistent Content That Stands Out With Consumers.",INCOME GENERATION,Nyasia Hunter,West,Admin & BI,5072095,8665889,Low,On - Hold,80%,Phase 4 - Implement,2022,11,11/1/2022,3/1/2023
The Code Honors,"Is The World First Content Marketing Platform Built For Founders And Other Small-To-Medium-Business Organizations. Using Proprietary Ai, We Use Ai Technology To Power Content Marketing For Our Entrepreneurs And Smbs. Get Your Roi With Smart Content Marketing And Your Business Will Never Be The Same",WORKING CAPITAL IMPROVEMENT,Brenda Chandler,East,Warehouse,5896885,8539690,Medium,Cancelled,88%,Phase 3 - Plan,2022,12,12/1/2022,3/1/2023
Road-To-Success Workshop,"Works With You To Win. You Can Get Started With 10 Days Free Trial.\N-Works With Any Size Company, No Matter Your Size\N-All Features Are Accessible From Our Wordpress Plugin",COST REDUCTION,Brenda Chandler,North,Admin & BI,4646988,9006076,Medium,Completed,100%,Phase 2 - Develop,2022,12,12/1/2022,3/1/2023
Code Change Group,Join Up With The Leader Of The Pack. All Founders Need To Win At Content Marketing,COST REDUCTION,Nyasia Hunter,North,Supply Chain,5412530,8527421,Medium,In - Progress,80%,Phase 2 - Develop,2023,1,1/1/2023,5/1/2023
Yellow Moose,Get Connected To The Right People & Knowledge,WORKING CAPITAL IMPROVEMENT,Brenda Chandler,North,Warehouse,5543765,8769988,Medium,On - Hold,77%,Phase 2 - Develop,2023,2,2/1/2023,6/1/2023
Moving Bird,"Allows You To Track And Optimize Your Content And Build A Personal Content Plan Tailored To You And Your Business Strategy. You’Ll Know How Well Your Content Is Performing And Understand How Different Versions, Versions Changes And Versions Versions Compare Against Your Content Targets.",COST REDUCTION,Deacon Delacruz,West,Supply Chain,4505069,8478594,High,Completed,100%,Phase 1 - Explore,2023,5,5/1/2023,8/1/2023
Ceremony Worthy Of Time,Four-Minute Solution For Founders Of All Sizes.,PROCESS IMPROVEMENT,Kamari Norris,South,Warehouse,4013283,8830540,Low,On - Hold,79%,Phase 4 - Implement,2023,7,7/1/2023,10/1/2023
Leadership Minds,"It Just Not In The Script. Using Award-Winning Ai Technology, Helps Content Marketers Win With Content That Drives Results. Experts In Your Market Segment Align Your Content Strategy To Your Audience’S Needs.",COST REDUCTION,Aleena Khan,East,Supply Chain,3107456,9040473,Low,Cancelled,82%,Phase 2 - Develop,2023,7,7/1/2023,10/1/2023
The Art Of Codes,"Association Now Operates Like An Ai Editor, Working Invisibly Behind The Scenes To Help Brands Create Optimized Content. Associations Now Ai Platform Analyzes The Competition For Your Topic. When Your Ai Content Is Complete, It’S Custom-Printed, Personalized, And Delivered To Your Audience.",INCOME GENERATION,Brenda Chandler,North,Sales and Marketing,5643858,8573039,High,Cancelled,87%,Phase 5 - Measure,2023,7,7/1/2023,10/1/2023
The Coding Awards,"From The Wordpress Blog To The Tinder Blog, The Internet Is Flooded With Content. Growing Your Brand Online Has Never Been Easier. But, Today, Not All Content Is Good Content. Is The Solution For Founders Who Want To Win At Content Marketing. We Use Proprietary Algorithms And Ai To Analyze The Competition For Your Topic, And To Help You Create Optimized Content Faster With State Of The Art Ai Generation. The Result: You Eek Out A Marginal Edge In The Content Marketing",PROCESS IMPROVEMENT,Nyasia Hunter,North,Supply Chain,4612925,8910680,High,Cancelled,90%,Phase 4 - Implement,2023,8,8/1/2023,11/1/2023
Coding League,"Is A Solution For Founders Who Want To Win At Content Marketing. We Use Proprietary Ai To Analyze The Competition For Your Topic, And To Help You Create Optimized Content Faster With State Of The Art Ai Generation. -Ai Analysis Of The Whole Competitive Landscape To Cookie-Cut Your Kpis For Content Marketing -Ai-Generated Optimized Content To Help You Build Rankings Faster -Industry-Specific Knowledgebase That’S Constantly Updated With Over 1,000+ White Papers -Ai-Generated Content To",WORKING CAPITAL IMPROVEMENT,Aleena Khan,West,Admin & BI,5949337,9012834,Medium,Cancelled,87%,Phase 4 - Implement,2023,8,8/1/2023,11/1/2023
Only Project Experience,"Is An Instant Answer For Content Marketing. It Was Built By Founders Who Want To Win At Content Marketing And Who Understand The Importance Of Interrupting Through Content. Builds, Executes And Manages Long-Term Strategy, And Generates Personalized Content For Your Target Audience.",INCOME GENERATION,Nyasia Hunter,East,Warehouse,2511189,8776602,High,On - Hold,91%,Phase 5 - Measure,2023,9,9/1/2023,12/1/2023
Meetup For The Good,"Is A New Content Marketing Platform That Replicates All Of The Work Of Our Competitor Top-Performing Content, Without Their Busy Workflow Of Copywriter, Editor, And Visual Designer.",INCOME GENERATION,Deacon Delacruz,East,Sales and Marketing,2745287,8957341,High,On - Hold,78%,Phase 2 - Develop,2023,9,9/1/2023,12/1/2023
White Feather,"The App Is The Perfect App For Marketers Who Want To Win At Content Marketing. With , You Can Use Ai To Analyze The Competition, Track Competitors’ Content, Generate Optimized Content, And Engage In Direct Competitor Outreach.",INCOME GENERATION,Yael Wilcox,South,Warehouse,2578748,9069084,Low,On - Hold,91%,Phase 5 - Measure,2023,9,9/1/2023,12/1/2023
Open Source Pundits,"When Founders Want To Win At Content Marketing, They Struggle With The Lack Of Content. Offers The Solution By Employing Ai To Analyze The Competition For Your Cause And To Help You Create Optimized Content.",PROCESS IMPROVEMENT,Aleena Khan,North,Supply Chain,2806512,9016356,Low,In - Progress,80%,Phase 2 - Develop,2023,9,9/1/2023,12/1/2023
Next Gala,"Founded By Former Founders Factory Co-Founders, Is A Solution For Founders Who Want To Win At Content Marketing. We Have Used Our Proprietary Ai To Analyze The Competition For Your Topic, And Optimize Content Faster With State Of The Art Ai Generation.",WORKING CAPITAL IMPROVEMENT,Aleena Khan,North,Warehouse,3261249,8696481,High,Completed,100%,Phase 2 - Develop,2023,11,11/1/2023,2/1/2024
Project Explained,"It All Starts With A Simple Tagline: ""Create The Content That Matters."" It An Exciting, Lucrative Tagline That The Core Of The Company Business.",INCOME GENERATION,Brenda Chandler,North,Admin & BI,5156291,8519274,High,Completed,100%,Phase 5 - Measure,2023,11,11/1/2023,2/1/2024
Commission Kings,"Is An Ai-Powered Marketing Platform That Helps Businesses Create Optimized Content Faster. It Uses Ai To Analyze The Competition To Find The Right Channels For Your Business, And Helps You Build Better Content For Any Market Using State Of The Art Ai Generation Technology.",COST REDUCTION,Deacon Delacruz,North,eCommerce,3014053,8904627,Low,Completed,100%,Phase 3 - Plan,2023,11,11/1/2023,2/1/2024
Celestial Interface,"Is A Solution For Founders Who Want To Win At Content Marketing And Standing Out In A Crowded And Competitive Marketplace. Now, You Can Create Content That Is Perfectly Targeted And Optimized With State-Of-The-Art Ai Generation. Ai Wireframes Your Content And Reveals Where Your Competition Is. That Keeps You Rolling, Wireframes Your Content And Reveals Where Your Competition Is. That Keeps You Rolling, And The Ai Generates Well-Crafted Content Without Ever Needing To Touch A Keyboard. The Software Works Like Magic",PROCESS IMPROVEMENT,Brenda Chandler,North,eCommerce,4569504,8678737,Low,In - Progress,73%,Phase 4 - Implement,2023,11,11/1/2023,2/1/2024
Stratos,"Is Your End-To-End Solution For Winning At Content Marketing. ’S Proprietary Ai Will Analyze The Competition For Your Topic, And Help You Create Optimized Content Faster With State-Of-The-Art Ai Generation.",COST REDUCTION,Jaylyn Mckenzie,East,Sales and Marketing,2429395,8913514,Low,In - Progress,74%,Phase 1 - Explore,2023,12,12/1/2023,3/1/2024
Red Butter,"We'Re A Small Group Of Entrepreneurs Of Mixed Backgrounds That Had A Goal: To Change The Way The World Looked At The Pr And Content Marketing Industry. Our Passion For Winning Convinced Us That A New Platform Was Needed To Bridge The Gap Between Understanding How To Create Content On A Topic And Actually Creating The Content On The Topic. Learn How To Use Our State Of The Art Ai To Reduce Your Wait Time From Months To Hours, For A Better Return On Your Content Campaign.",WORKING CAPITAL IMPROVEMENT,Deacon Delacruz,East,eCommerce,4603061,8654153,Medium,Completed,100%,Phase 3 - Plan,2024,2,2/1/2024,5/1/2024
Smart Brief Leadership,"Is A Solution For Founders Who Want To Win At Content Marketing. We Use Proprietary Ai To Analyze The Competition For Your Topic, And To Help You Create Optimized Content Faster With State Of The Art Ai Generation.",PROCESS IMPROVEMENT,Kamari Norris,South,eCommerce,4505046,9026066,High,Cancelled,78%,Phase 4 - Implement,2024,3,3/1/2024,6/1/2024
A Night To Celebrate,"Is A Global Content Marketing Software Company Offering A Saas Platform For Fast, Scalable, And Reliable Content Marketing. The Platform Is Specifically Designed For Top Ceos, Design Agencies, And Developers Who Want To Compete Effectively In Today’S Customer-Focused World.",COST REDUCTION,Nyasia Hunter,North,Warehouse,2706279,8547124,Medium,In - Progress,86%,Phase 4 - Implement,2024,4,4/1/2024,7/1/2024
Fast Ball,"Uses Continuous Continuous Learning Algorithms To Constantly Improve The Recommendations; We Constantly See Product Changes And Improvements. The More You Use Our Platform, The More We Learn Which Leads To Our Clients Benefiting More And More.",WORKING CAPITAL IMPROVEMENT,Yael Wilcox,North,Supply Chain,4426475,8515880,High,Cancelled,83%,Phase 3 - Plan,2024,7,7/1/2024,10/1/2024
